TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B06011,05000US19013,"Black Hawk County, Iowa",4,Native; born outside the United States,"11,718","+/-39,660"
B06011,05000US19013,"Black Hawk County, Iowa",5,Foreign born,"27,647","+/-2,707"
B06011,05000US19049,"Dallas County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19049,"Dallas County, Iowa",1,Total:,"44,424","+/-3,276"
B06011,05000US19049,"Dallas County, Iowa",2,Born in state of residence,"45,695","+/-3,214"
B06011,05000US19049,"Dallas County, Iowa",3,Born in other state of the United States,"41,892","+/-5,582"
B06011,05000US19049,"Dallas County, Iowa",4,Native; born outside the United States,"65,365","+/-7,875"
B06011,05000US19049,"Dallas County, Iowa",5,Foreign born,"35,309","+/-22,493"
B06011,05000US19061,"Dubuque County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19061,"Dubuque County, Iowa",1,Total:,"30,181","+/-1,924"
B06011,05000US19061,"Dubuque County, Iowa",2,Born in state of residence,"31,372","+/-1,532"
B06011,05000US19061,"Dubuque County, Iowa",3,Born in other state of the United States,"26,405","+/-5,211"
B06011,05000US19061,"Dubuque County, Iowa",4,Native; born outside the United States,"5,826","+/-30,487"
B06011,05000US19061,"Dubuque County, Iowa",5,Foreign born,"30,429","+/-13,492"
B06011,05000US19103,"Johnson County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19103,"Johnson County, Iowa",1,Total:,"30,307","+/-1,750"
B06011,05000US19103,"Johnson County, Iowa",2,Born in state of residence,"32,330","+/-2,396"
B06011,05000US19103,"Johnson County, Iowa",3,Born in other state of the United States,"28,605","+/-4,123"
B06011,05000US19103,"Johnson County, Iowa",4,Native; born outside the United States,"52,087","+/-34,333"
B06011,05000US19103,"Johnson County, Iowa",5,Foreign born,"21,740","+/-3,036"
B06011,05000US19113,"Linn County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19113,"Linn County, Iowa",1,Total:,"34,358","+/-2,203"
B06011,05000US19113,"Linn County, Iowa",2,Born in state of residence,"34,927","+/-2,109"
B06011,05000US19113,"Linn County, Iowa",3,Born in other state of the United States,"34,906","+/-4,967"
B06011,05000US19113,"Linn County, Iowa",4,Native; born outside the United States,"43,333","+/-22,022"
B06011,05000US19113,"Linn County, Iowa",5,Foreign born,"26,668","+/-7,459"
B06011,05000US19153,"Polk County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19153,"Polk County, Iowa",1,Total:,"36,870",+/-935
B06011,05000US19153,"Polk County, Iowa",2,Born in state of residence,"38,077","+/-2,123"
B06011,05000US19153,"Polk County, Iowa",3,Born in other state of the United States,"38,827","+/-3,466"
B06011,05000US19153,"Polk County, Iowa",4,Native; born outside the United States,"25,771","+/-6,602"
B06011,05000US19153,"Polk County, Iowa",5,Foreign born,"30,672","+/-2,227"
B06011,05000US19155,"Pottawattamie County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19155,"Pottawattamie County, Iowa",1,Total:,"29,895","+/-1,912"
B06011,05000US19155,"Pottawattamie County, Iowa",2,Born in state of residence,"31,361","+/-2,569"
B06011,05000US19155,"Pottawattamie County, Iowa",3,Born in other state of the United States,"28,877","+/-2,447"
B06011,05000US19155,"Pottawattamie County, Iowa",4,Native; born outside the United States,"13,924","+/-22,470"
B06011,05000US19155,"Pottawattamie County, Iowa",5,Foreign born,"29,804","+/-9,137"
B06011,05000US19163,"Scott County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19163,"Scott County, Iowa",1,Total:,"32,060","+/-1,157"
B06011,05000US19163,"Scott County, Iowa",2,Born in state of residence,"31,188","+/-1,836"
B06011,05000US19163,"Scott County, Iowa",3,Born in other state of the United States,"34,790","+/-2,569"
B06011,05000US19163,"Scott County, Iowa",4,Native; born outside the United States,"21,194","+/-10,429"
B06011,05000US19163,"Scott County, Iowa",5,Foreign born,"27,765","+/-8,518"
B06011,05000US19169,"Story County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19169,"Story County, Iowa",1,Total:,"23,292","+/-1,365"
B06011,05000US19169,"Story County, Iowa",2,Born in state of residence,"24,696","+/-3,438"
B06011,05000US19169,"Story County, Iowa",3,Born in other state of the United States,"20,981","+/-3,181"
B06011,05000US19169,"Story County, Iowa",4,Native; born outside the United States,"21,490","+/-1,872"
B06011,05000US19169,"Story County, Iowa",5,Foreign born,"25,408","+/-2,806"
B06011,05000US19193,"Woodbury County, Iowa",0.5,Median income in the past 12 months --,,
B06011,05000US19193,"Woodbury County, Iowa",1,Total:,"31,118","+/-1,301"
B06011,05000US19193,"Woodbury County, Iowa",2,Born in state of residence,"33,343","+/-3,254"
B06011,05000US19193,"Woodbury County, Iowa",3,Born in other state of the United States,"30,763","+/-3,171"
B06011,05000US19193,"Woodbury County, Iowa",4,Native; born outside the United States,"22,854","+/-21,795"
B06011,05000US19193,"Woodbury County, Iowa",5,Foreign born,"25,439","+/-4,837"
B06011,05000US20015,"Butler County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20015,"Butler County, Kansas",1,Total:,"31,505","+/-2,117"
B06011,05000US20015,"Butler County, Kansas",2,Born in state of residence,"30,625","+/-2,578"
B06011,05000US20015,"Butler County, Kansas",3,Born in other state of the United States,"35,167","+/-7,539"
B06011,05000US20015,"Butler County, Kansas",4,Native; born outside the United States,"45,502","+/-32,829"
B06011,05000US20015,"Butler County, Kansas",5,Foreign born,"34,134","+/-37,429"
B06011,05000US20045,"Douglas County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20045,"Douglas County, Kansas",1,Total:,"25,752","+/-2,450"
B06011,05000US20045,"Douglas County, Kansas",2,Born in state of residence,"26,322","+/-3,332"
B06011,05000US20045,"Douglas County, Kansas",3,Born in other state of the United States,"26,155","+/-4,757"
B06011,05000US20045,"Douglas County, Kansas",4,Native; born outside the United States,"3,867","+/-3,482"
B06011,05000US20045,"Douglas County, Kansas",5,Foreign born,"26,594","+/-8,858"
B06011,05000US20091,"Johnson County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20091,"Johnson County, Kansas",1,Total:,"42,628","+/-1,351"
B06011,05000US20091,"Johnson County, Kansas",2,Born in state of residence,"39,052","+/-2,223"
B06011,05000US20091,"Johnson County, Kansas",3,Born in other state of the United States,"46,938","+/-1,299"
B06011,05000US20091,"Johnson County, Kansas",4,Native; born outside the United States,"32,693","+/-7,496"
B06011,05000US20091,"Johnson County, Kansas",5,Foreign born,"37,297","+/-5,323"
B06011,05000US20103,"Leavenworth County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20103,"Leavenworth County, Kansas",1,Total:,"28,304","+/-3,433"
B06011,05000US20103,"Leavenworth County, Kansas",2,Born in state of residence,"27,653","+/-4,389"
B06011,05000US20103,"Leavenworth County, Kansas",3,Born in other state of the United States,"30,489","+/-3,117"
B06011,05000US20103,"Leavenworth County, Kansas",4,Native; born outside the United States,"22,681","+/-15,846"
B06011,05000US20103,"Leavenworth County, Kansas",5,Foreign born,"22,760","+/-21,136"
B06011,05000US20161,"Riley County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20161,"Riley County, Kansas",1,Total:,"21,247","+/-1,641"
B06011,05000US20161,"Riley County, Kansas",2,Born in state of residence,"17,245","+/-2,421"
B06011,05000US20161,"Riley County, Kansas",3,Born in other state of the United States,"23,223","+/-2,271"
B06011,05000US20161,"Riley County, Kansas",4,Native; born outside the United States,"24,847","+/-13,087"
B06011,05000US20161,"Riley County, Kansas",5,Foreign born,"17,113","+/-5,884"
B06011,05000US20173,"Sedgwick County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20173,"Sedgwick County, Kansas",1,Total:,"29,527","+/-1,306"
B06011,05000US20173,"Sedgwick County, Kansas",2,Born in state of residence,"28,119","+/-1,819"
B06011,05000US20173,"Sedgwick County, Kansas",3,Born in other state of the United States,"31,311","+/-1,410"
B06011,05000US20173,"Sedgwick County, Kansas",4,Native; born outside the United States,"27,115","+/-10,299"
B06011,05000US20173,"Sedgwick County, Kansas",5,Foreign born,"28,691","+/-4,546"
B06011,05000US20177,"Shawnee County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20177,"Shawnee County, Kansas",1,Total:,"30,849","+/-1,026"
B06011,05000US20177,"Shawnee County, Kansas",2,Born in state of residence,"31,917","+/-1,004"
B06011,05000US20177,"Shawnee County, Kansas",3,Born in other state of the United States,"28,422","+/-3,071"
B06011,05000US20177,"Shawnee County, Kansas",4,Native; born outside the United States,"27,747","+/-22,608"
B06011,05000US20177,"Shawnee County, Kansas",5,Foreign born,"25,411","+/-8,672"
B06011,05000US20209,"Wyandotte County, Kansas",0.5,Median income in the past 12 months --,,
B06011,05000US20209,"Wyandotte County, Kansas",1,Total:,"27,104","+/-1,119"
B06011,05000US20209,"Wyandotte County, Kansas",2,Born in state of residence,"26,530","+/-1,649"
B06011,05000US20209,"Wyandotte County, Kansas",3,Born in other state of the United States,"30,429","+/-1,904"
B06011,05000US20209,"Wyandotte County, Kansas",4,Native; born outside the United States,"30,633","+/-11,481"
B06011,05000US20209,"Wyandotte County, Kansas",5,Foreign born,"25,857","+/-1,292"
B06011,05000US21015,"Boone County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21015,"Boone County, Kentucky",1,Total:,"36,743","+/-2,530"
B06011,05000US21015,"Boone County, Kentucky",2,Born in state of residence,"35,348","+/-5,826"
B06011,05000US21015,"Boone County, Kentucky",3,Born in other state of the United States,"43,636","+/-4,704"
B06011,05000US21015,"Boone County, Kentucky",4,Native; born outside the United States,"73,149","+/-76,398"
B06011,05000US21015,"Boone County, Kentucky",5,Foreign born,"23,799","+/-6,188"
B06011,05000US21029,"Bullitt County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21029,"Bullitt County, Kentucky",1,Total:,"30,494","+/-1,633"
B06011,05000US21029,"Bullitt County, Kentucky",2,Born in state of residence,"29,130","+/-2,684"
B06011,05000US21029,"Bullitt County, Kentucky",3,Born in other state of the United States,"40,687","+/-4,207"
B06011,05000US21029,"Bullitt County, Kentucky",4,Native; born outside the United States,"35,841","+/-26,124"
B06011,05000US21029,"Bullitt County, Kentucky",5,Foreign born,"22,527","+/-18,402"
B06011,05000US21037,"Campbell County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21037,"Campbell County, Kentucky",1,Total:,"32,151","+/-2,042"
B06011,05000US21037,"Campbell County, Kentucky",2,Born in state of residence,"30,074","+/-2,489"
B06011,05000US21037,"Campbell County, Kentucky",3,Born in other state of the United States,"38,158","+/-3,169"
B06011,05000US21037,"Campbell County, Kentucky",4,Native; born outside the United States,"32,433","+/-57,602"
B06011,05000US21037,"Campbell County, Kentucky",5,Foreign born,"4,423","+/-13,360"
B06011,05000US21047,"Christian County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21047,"Christian County, Kentucky",1,Total:,"26,986","+/-1,686"
B06011,05000US21047,"Christian County, Kentucky",2,Born in state of residence,"28,183","+/-3,736"
B06011,05000US21047,"Christian County, Kentucky",3,Born in other state of the United States,"26,531","+/-1,882"
B06011,05000US21047,"Christian County, Kentucky",4,Native; born outside the United States,"27,195","+/-6,933"
B06011,05000US21047,"Christian County, Kentucky",5,Foreign born,"25,780","+/-10,189"
B06011,05000US21059,"Daviess County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21059,"Daviess County, Kentucky",1,Total:,"25,993","+/-1,652"
B06011,05000US21059,"Daviess County, Kentucky",2,Born in state of residence,"26,266","+/-2,007"
B06011,05000US21059,"Daviess County, Kentucky",3,Born in other state of the United States,"24,514","+/-3,843"
B06011,05000US21059,"Daviess County, Kentucky",4,Native; born outside the United States,"7,396","+/-37,535"
B06011,05000US21059,"Daviess County, Kentucky",5,Foreign born,"29,979","+/-5,270"
B06011,05000US21067,"Fayette County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21067,"Fayette County, Kentucky",1,Total:,"30,526","+/-1,175"
B06011,05000US21067,"Fayette County, Kentucky",2,Born in state of residence,"29,255","+/-2,089"
B06011,05000US21067,"Fayette County, Kentucky",3,Born in other state of the United States,"33,636","+/-1,666"
B06011,05000US21067,"Fayette County, Kentucky",4,Native; born outside the United States,"22,319","+/-9,476"
B06011,05000US21067,"Fayette County, Kentucky",5,Foreign born,"25,795","+/-2,459"
B06011,05000US21093,"Hardin County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21093,"Hardin County, Kentucky",1,Total:,"30,121","+/-2,251"
B06011,05000US21093,"Hardin County, Kentucky",2,Born in state of residence,"26,727","+/-2,609"
B06011,05000US21093,"Hardin County, Kentucky",3,Born in other state of the United States,"35,669","+/-4,546"
B06011,05000US21093,"Hardin County, Kentucky",4,Native; born outside the United States,"29,743","+/-15,555"
B06011,05000US21093,"Hardin County, Kentucky",5,Foreign born,"16,431","+/-12,043"
B06011,05000US21111,"Jefferson County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21111,"Jefferson County, Kentucky",1,Total:,"30,710",+/-683
B06011,05000US21111,"Jefferson County, Kentucky",2,Born in state of residence,"30,453",+/-772
B06011,05000US21111,"Jefferson County, Kentucky",3,Born in other state of the United States,"32,942","+/-2,286"
B06011,05000US21111,"Jefferson County, Kentucky",4,Native; born outside the United States,"41,506","+/-7,077"
B06011,05000US21111,"Jefferson County, Kentucky",5,Foreign born,"26,401","+/-1,349"
B06011,05000US21117,"Kenton County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21117,"Kenton County, Kentucky",1,Total:,"32,922","+/-1,908"
B06011,05000US21117,"Kenton County, Kentucky",2,Born in state of residence,"32,839","+/-2,184"
B06011,05000US21117,"Kenton County, Kentucky",3,Born in other state of the United States,"33,688","+/-3,842"
B06011,05000US21117,"Kenton County, Kentucky",4,Native; born outside the United States,"23,723","+/-20,108"
B06011,05000US21117,"Kenton County, Kentucky",5,Foreign born,"35,657","+/-8,413"
B06011,05000US21145,"McCracken County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21145,"McCracken County, Kentucky",1,Total:,"24,643","+/-1,652"
B06011,05000US21145,"McCracken County, Kentucky",2,Born in state of residence,"24,853","+/-2,003"
B06011,05000US21145,"McCracken County, Kentucky",3,Born in other state of the United States,"24,238","+/-3,584"
B06011,05000US21145,"McCracken County, Kentucky",4,Native; born outside the United States,"22,222","+/-13,324"
B06011,05000US21145,"McCracken County, Kentucky",5,Foreign born,"93,903","+/-397,501"
B06011,05000US21151,"Madison County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21151,"Madison County, Kentucky",1,Total:,"23,181","+/-1,980"
B06011,05000US21151,"Madison County, Kentucky",2,Born in state of residence,"21,412","+/-1,778"
B06011,05000US21151,"Madison County, Kentucky",3,Born in other state of the United States,"28,073","+/-5,176"
B06011,05000US21151,"Madison County, Kentucky",4,Native; born outside the United States,"42,918","+/-26,642"
B06011,05000US21151,"Madison County, Kentucky",5,Foreign born,"97,652","+/-134,178"
B06011,05000US21185,"Oldham County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21185,"Oldham County, Kentucky",1,Total:,"40,889","+/-3,225"
B06011,05000US21185,"Oldham County, Kentucky",2,Born in state of residence,"36,218","+/-6,075"
B06011,05000US21185,"Oldham County, Kentucky",3,Born in other state of the United States,"49,333","+/-5,365"
B06011,05000US21185,"Oldham County, Kentucky",4,Native; born outside the United States,"75,962","+/-46,860"
B06011,05000US21185,"Oldham County, Kentucky",5,Foreign born,"60,785","+/-47,569"
B06011,05000US21227,"Warren County, Kentucky",0.5,Median income in the past 12 months --,,
B06011,05000US21227,"Warren County, Kentucky",1,Total:,"24,016","+/-1,736"
B06011,05000US21227,"Warren County, Kentucky",2,Born in state of residence,"22,015","+/-2,182"
B06011,05000US21227,"Warren County, Kentucky",3,Born in other state of the United States,"26,011","+/-3,298"
B06011,05000US21227,"Warren County, Kentucky",4,Native; born outside the United States,"51,606","+/-14,230"
B06011,05000US21227,"Warren County, Kentucky",5,Foreign born,"24,087","+/-3,158"
B06011,05000US22005,"Ascension Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22005,"Ascension Parish, Louisiana",1,Total:,"40,082","+/-5,949"
B06011,05000US22005,"Ascension Parish, Louisiana",2,Born in state of residence,"37,103","+/-5,400"
B06011,05000US22005,"Ascension Parish, Louisiana",3,Born in other state of the United States,"50,183","+/-9,071"
B06011,05000US22005,"Ascension Parish, Louisiana",4,Native; born outside the United States,-,**
B06011,05000US22005,"Ascension Parish, Louisiana",5,Foreign born,"35,244","+/-17,078"
B06011,05000US22015,"Bossier Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22015,"Bossier Parish, Louisiana",1,Total:,"30,191","+/-2,552"
B06011,05000US22015,"Bossier Parish, Louisiana",2,Born in state of residence,"26,611","+/-4,548"
B06011,05000US22015,"Bossier Parish, Louisiana",3,Born in other state of the United States,"36,700","+/-5,380"
B06011,05000US22015,"Bossier Parish, Louisiana",4,Native; born outside the United States,"31,276","+/-9,374"
B06011,05000US22015,"Bossier Parish, Louisiana",5,Foreign born,"15,145","+/-14,098"
B06011,05000US22017,"Caddo Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22017,"Caddo Parish, Louisiana",1,Total:,"23,781","+/-1,540"
B06011,05000US22017,"Caddo Parish, Louisiana",2,Born in state of residence,"22,009",+/-920
B06011,05000US22017,"Caddo Parish, Louisiana",3,Born in other state of the United States,"31,362","+/-4,321"
B06011,05000US22017,"Caddo Parish, Louisiana",4,Native; born outside the United States,"36,021","+/-20,273"
B06011,05000US22017,"Caddo Parish, Louisiana",5,Foreign born,"26,526","+/-8,489"
B06011,05000US22019,"Calcasieu Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22019,"Calcasieu Parish, Louisiana",1,Total:,"26,144","+/-1,325"
B06011,05000US22019,"Calcasieu Parish, Louisiana",2,Born in state of residence,"25,412","+/-1,555"
B06011,05000US22019,"Calcasieu Parish, Louisiana",3,Born in other state of the United States,"31,785","+/-2,963"
B06011,05000US22019,"Calcasieu Parish, Louisiana",4,Native; born outside the United States,"35,108","+/-44,385"
B06011,05000US22019,"Calcasieu Parish, Louisiana",5,Foreign born,"19,947","+/-12,366"
B06011,05000US22033,"East Baton Rouge Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22033,"East Baton Rouge Parish, Louisiana",1,Total:,"28,095","+/-1,738"
B06011,05000US22033,"East Baton Rouge Parish, Louisiana",2,Born in state of residence,"26,203","+/-1,342"
B06011,05000US22033,"East Baton Rouge Parish, Louisiana",3,Born in other state of the United States,"38,703","+/-4,478"
B06011,05000US22033,"East Baton Rouge Parish, Louisiana",4,Native; born outside the United States,"31,183","+/-12,833"
B06011,05000US22033,"East Baton Rouge Parish, Louisiana",5,Foreign born,"24,771","+/-3,522"
B06011,05000US22045,"Iberia Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22045,"Iberia Parish, Louisiana",1,Total:,"21,716","+/-1,856"
B06011,05000US22045,"Iberia Parish, Louisiana",2,Born in state of residence,"21,394","+/-2,052"
B06011,05000US22045,"Iberia Parish, Louisiana",3,Born in other state of the United States,"27,374","+/-18,562"
B06011,05000US22045,"Iberia Parish, Louisiana",4,Native; born outside the United States,"19,119","+/-18,798"
B06011,05000US22045,"Iberia Parish, Louisiana",5,Foreign born,"24,714","+/-1,586"
B06011,05000US22051,"Jefferson Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22051,"Jefferson Parish, Louisiana",1,Total:,"27,150",+/-947
B06011,05000US22051,"Jefferson Parish, Louisiana",2,Born in state of residence,"27,464","+/-1,360"
B06011,05000US22051,"Jefferson Parish, Louisiana",3,Born in other state of the United States,"32,303","+/-4,924"
B06011,05000US22051,"Jefferson Parish, Louisiana",4,Native; born outside the United States,"16,054","+/-8,604"
B06011,05000US22051,"Jefferson Parish, Louisiana",5,Foreign born,"24,530","+/-2,457"
B06011,05000US22055,"Lafayette Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22055,"Lafayette Parish, Louisiana",1,Total:,"28,347","+/-2,608"
B06011,05000US22055,"Lafayette Parish, Louisiana",2,Born in state of residence,"27,215","+/-2,082"
B06011,05000US22055,"Lafayette Parish, Louisiana",3,Born in other state of the United States,"35,171","+/-5,868"
B06011,05000US22055,"Lafayette Parish, Louisiana",4,Native; born outside the United States,"26,068","+/-8,203"
B06011,05000US22055,"Lafayette Parish, Louisiana",5,Foreign born,"29,651","+/-14,080"
B06011,05000US22057,"Lafourche Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22057,"Lafourche Parish, Louisiana",1,Total:,"25,658","+/-2,208"
B06011,05000US22057,"Lafourche Parish, Louisiana",2,Born in state of residence,"25,176","+/-3,061"
B06011,05000US22057,"Lafourche Parish, Louisiana",3,Born in other state of the United States,"26,820","+/-11,894"
B06011,05000US22057,"Lafourche Parish, Louisiana",4,Native; born outside the United States,"35,841","+/-9,129"
B06011,05000US22057,"Lafourche Parish, Louisiana",5,Foreign born,"42,756","+/-40,578"
B06011,05000US22063,"Livingston Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22063,"Livingston Parish, Louisiana",1,Total:,"35,460","+/-3,554"
B06011,05000US22063,"Livingston Parish, Louisiana",2,Born in state of residence,"35,457","+/-4,078"
B06011,05000US22063,"Livingston Parish, Louisiana",3,Born in other state of the United States,"37,603","+/-5,443"
B06011,05000US22063,"Livingston Parish, Louisiana",4,Native; born outside the United States,"44,641","+/-14,397"
B06011,05000US22063,"Livingston Parish, Louisiana",5,Foreign born,"18,043","+/-2,724"
B06011,05000US22071,"Orleans Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22071,"Orleans Parish, Louisiana",1,Total:,"24,724",+/-999
B06011,05000US22071,"Orleans Parish, Louisiana",2,Born in state of residence,"22,280","+/-1,128"
B06011,05000US22071,"Orleans Parish, Louisiana",3,Born in other state of the United States,"32,488","+/-3,563"
B06011,05000US22071,"Orleans Parish, Louisiana",4,Native; born outside the United States,"24,322","+/-6,569"
B06011,05000US22071,"Orleans Parish, Louisiana",5,Foreign born,"26,258","+/-4,681"
B06011,05000US22073,"Ouachita Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22073,"Ouachita Parish, Louisiana",1,Total:,"26,349","+/-1,409"
B06011,05000US22073,"Ouachita Parish, Louisiana",2,Born in state of residence,"25,257","+/-1,575"
B06011,05000US22073,"Ouachita Parish, Louisiana",3,Born in other state of the United States,"34,464","+/-8,676"
B06011,05000US22073,"Ouachita Parish, Louisiana",4,Native; born outside the United States,"31,006","+/-95,581"
B06011,05000US22073,"Ouachita Parish, Louisiana",5,Foreign born,"21,142","+/-9,063"
B06011,05000US22079,"Rapides Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22079,"Rapides Parish, Louisiana",1,Total:,"26,395","+/-1,683"
B06011,05000US22079,"Rapides Parish, Louisiana",2,Born in state of residence,"25,731","+/-2,115"
B06011,05000US22079,"Rapides Parish, Louisiana",3,Born in other state of the United States,"30,476","+/-6,711"
B06011,05000US22079,"Rapides Parish, Louisiana",4,Native; born outside the United States,"21,567","+/-36,191"
B06011,05000US22079,"Rapides Parish, Louisiana",5,Foreign born,"17,424","+/-32,332"
B06011,05000US22097,"St. Landry Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22097,"St. Landry Parish, Louisiana",1,Total:,"20,383","+/-1,784"
B06011,05000US22097,"St. Landry Parish, Louisiana",2,Born in state of residence,"19,935","+/-1,787"
B06011,05000US22097,"St. Landry Parish, Louisiana",3,Born in other state of the United States,"25,881","+/-3,682"
B06011,05000US22097,"St. Landry Parish, Louisiana",4,Native; born outside the United States,"21,326","+/-11,117"
B06011,05000US22097,"St. Landry Parish, Louisiana",5,Foreign born,"24,242","+/-40,135"
B06011,05000US22103,"St. Tammany Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22103,"St. Tammany Parish, Louisiana",1,Total:,"29,481","+/-1,494"
B06011,05000US22103,"St. Tammany Parish, Louisiana",2,Born in state of residence,"28,642","+/-2,189"
B06011,05000US22103,"St. Tammany Parish, Louisiana",3,Born in other state of the United States,"31,031","+/-3,296"
B06011,05000US22103,"St. Tammany Parish, Louisiana",4,Native; born outside the United States,"27,903","+/-14,890"
B06011,05000US22103,"St. Tammany Parish, Louisiana",5,Foreign born,"32,723","+/-13,403"
B06011,05000US22105,"Tangipahoa Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22105,"Tangipahoa Parish, Louisiana",1,Total:,"22,735","+/-2,513"
B06011,05000US22105,"Tangipahoa Parish, Louisiana",2,Born in state of residence,"22,282","+/-2,176"
B06011,05000US22105,"Tangipahoa Parish, Louisiana",3,Born in other state of the United States,"26,349","+/-5,408"
B06011,05000US22105,"Tangipahoa Parish, Louisiana",4,Native; born outside the United States,-,**
B06011,05000US22105,"Tangipahoa Parish, Louisiana",5,Foreign born,"19,976","+/-2,487"
B06011,05000US22109,"Terrebonne Parish, Louisiana",0.5,Median income in the past 12 months --,,
B06011,05000US22109,"Terrebonne Parish, Louisiana",1,Total:,"26,239","+/-2,744"
B06011,05000US22109,"Terrebonne Parish, Louisiana",2,Born in state of residence,"25,677","+/-3,146"
B06011,05000US22109,"Terrebonne Parish, Louisiana",3,Born in other state of the United States,"35,324","+/-14,471"
B06011,05000US22109,"Terrebonne Parish, Louisiana",4,Native; born outside the United States,"11,367","+/-7,289"
B06011,05000US22109,"Terrebonne Parish, Louisiana",5,Foreign born,"24,969","+/-9,028"
B06011,05000US23001,"Androscoggin County, Maine",0.5,Median income in the past 12 months --,,
B06011,05000US23001,"Androscoggin County, Maine",1,Total:,"30,315","+/-1,596"
B06011,05000US23001,"Androscoggin County, Maine",2,Born in state of residence,"29,469","+/-3,115"
B06011,05000US23001,"Androscoggin County, Maine",3,Born in other state of the United States,"32,487","+/-3,667"
B06011,05000US23001,"Androscoggin County, Maine",4,Native; born outside the United States,"33,237","+/-10,132"
B06011,05000US23001,"Androscoggin County, Maine",5,Foreign born,"15,428","+/-7,497"
B06011,05000US23003,"Aroostook County, Maine",0.5,Median income in the past 12 months --,,
B06011,05000US23003,"Aroostook County, Maine",1,Total:,"22,098","+/-1,517"
B06011,05000US23003,"Aroostook County, Maine",2,Born in state of residence,"22,218","+/-1,714"
B06011,05000US23003,"Aroostook County, Maine",3,Born in other state of the United States,"20,003","+/-3,305"
B06011,05000US23003,"Aroostook County, Maine",4,Native; born outside the United States,"32,500","+/-16,637"
B06011,05000US23003,"Aroostook County, Maine",5,Foreign born,"25,149","+/-10,644"
B06011,05000US23005,"Cumberland County, Maine",0.5,Median income in the past 12 months --,,
B06011,05000US23005,"Cumberland County, Maine",1,Total:,"36,637","+/-1,359"
B06011,05000US23005,"Cumberland County, Maine",2,Born in state of residence,"34,640","+/-1,970"
B06011,05000US23005,"Cumberland County, Maine",3,Born in other state of the United States,"41,105","+/-2,275"
B06011,05000US23005,"Cumberland County, Maine",4,Native; born outside the United States,"46,792","+/-17,419"
B06011,05000US23005,"Cumberland County, Maine",5,Foreign born,"30,840","+/-2,451"
B06011,05000US23011,"Kennebec County, Maine",0.5,Median income in the past 12 months --,,
B06011,05000US23011,"Kennebec County, Maine",1,Total:,"28,274","+/-2,323"
B06011,05000US23011,"Kennebec County, Maine",2,Born in state of residence,"28,471","+/-2,304"
B06011,05000US23011,"Kennebec County, Maine",3,Born in other state of the United States,"28,998","+/-4,759"
B06011,05000US23011,"Kennebec County, Maine",4,Native; born outside the United States,"31,250","+/-31,134"
